iter	Logloss
0	0.6468626736
1	0.6055414686
2	0.571837455
3	0.541781904
4	0.5156469811
5	0.4915288169
6	0.4717784871
7	0.4552218685
8	0.4397228269
9	0.4279483734
10	0.4157006328
11	0.4056152421
12	0.3968731445
13	0.3903595327
14	0.3829489293
15	0.3769961441
16	0.3717645978
17	0.3672969244
18	0.3625158372
19	0.3587211674
20	0.355503608
21	0.3531154607
22	0.3500695735
23	0.3480159551
24	0.3454100177
25	0.3432847585
26	0.3413774821
27	0.3398218459
28	0.3382132394
29	0.3366261714
30	0.3352973142
31	0.3344084452
32	0.3335103372
33	0.3325442841
34	0.3318373849
35	0.3310252959
36	0.330302498
37	0.329478995
38	0.328980955
39	0.328323831
40	0.3277569413
41	0.327322381
42	0.3268326369
43	0.326327379
44	0.3260529421
45	0.3257727886
46	0.3255068593
47	0.3251679035
48	0.3248629394
49	0.3245503532
50	0.3243499053
51	0.3239949737
52	0.3237987604
53	0.3236396571
54	0.3234005979
55	0.3231823265
56	0.3230216833
57	0.322847865
58	0.3226627673
59	0.3224547839
60	0.3223563982
61	0.3221496755
62	0.3220656487
63	0.3219472259
64	0.3218121055
65	0.3217143934
66	0.321618404
67	0.3215283526
68	0.3213815391
69	0.3212828069
70	0.3211989245
71	0.3210815988
72	0.321005685
73	0.3209237658
74	0.3208345132
75	0.3207769908
76	0.3207146083
77	0.3206374145
78	0.3205821922
79	0.3205290872
80	0.3204872711
81	0.3204095576
82	0.3203332878
83	0.3203000562
84	0.3202501849
85	0.3201956074
86	0.3201285091
87	0.3200973852
88	0.3200685519
89	0.3200193253
90	0.3199979312
91	0.3199509278
92	0.3199123646
93	0.3198494239
94	0.319815663
95	0.3197604408
96	0.3197261987
97	0.3196974904
98	0.3196568003
99	0.3196284866
100	0.3195748812
101	0.3195513217
102	0.3195147988
103	0.3194929717
104	0.3194607314
105	0.319442725
106	0.3194248244
107	0.3193832104
108	0.3193563692
109	0.3193339935
110	0.3192916673
111	0.3192738437
112	0.3192509772
113	0.3192306899
114	0.3191854284
115	0.3191557962
116	0.3191368755
117	0.3191151927
118	0.3190958678
119	0.319072549
120	0.319046545
121	0.3190277783
122	0.3190075968
123	0.3189816314
124	0.3189663389
125	0.3189509213
126	0.3189324048
127	0.3189158998
128	0.3189006939
129	0.3188851993
130	0.3188546721
131	0.3188305448
132	0.3188130485
133	0.3187962835
134	0.3187784119
135	0.318759289
136	0.3187414655
137	0.3187332081
138	0.3187043651
139	0.3186880525
140	0.3186701327
141	0.3186568035
142	0.3186309439
143	0.3186171335
144	0.318604555
145	0.3185936799
146	0.3185632682
147	0.3185377455
148	0.3185238966
149	0.3185078535
150	0.3184930614
151	0.318477307
152	0.3184625631
153	0.3184487431
154	0.3184395618
155	0.3184283403
156	0.3184102858
157	0.3183981403
158	0.3183894499
159	0.3183739938
160	0.3183624162
161	0.3183537739
162	0.3183389145
163	0.318323699
164	0.3183079253
165	0.318294163
166	0.3182779467
167	0.3182683612
168	0.3182556865
169	0.3182487957
170	0.318227392
171	0.3182177199
172	0.3182087023
173	0.3181971631
174	0.3181876258
175	0.318174364
176	0.3181628634
177	0.3181563479
178	0.3181481387
179	0.3181402182
180	0.3181297569
181	0.3181215766
182	0.3181088729
183	0.3181000863
184	0.3180809827
185	0.3180653053
186	0.3180584049
187	0.3180465674
188	0.3180387528
189	0.3180303895
190	0.318016175
191	0.3180060217
192	0.3180011904
193	0.3179925481
194	0.3179864947
195	0.3179788532
196	0.317972155
197	0.317964552
198	0.3179544757
199	0.3179431002
