iter	Passed	Remaining
0	44	8779
1	91	9067
2	114	7546
3	138	6809
4	175	6825
5	211	6851
6	235	6494
7	259	6237
8	283	6022
9	307	5842
10	330	5683
11	355	5563
12	377	5436
13	400	5324
14	424	5239
15	446	5140
16	470	5064
17	493	4988
18	516	4919
19	538	4848
20	561	4787
21	584	4729
22	606	4670
23	628	4607
24	654	4578
25	679	4546
26	711	4558
27	734	4511
28	757	4464
29	780	4422
30	820	4475
31	853	4482
32	879	4450
33	903	4409
34	927	4372
35	950	4329
36	972	4283
37	996	4248
38	1018	4204
39	1041	4164
40	1065	4132
41	1090	4102
42	1112	4063
43	1138	4037
44	1163	4006
45	1186	3971
46	1209	3938
47	1231	3900
48	1258	3876
49	1279	3839
50	1302	3806
51	1345	3828
52	1447	4014
53	1477	3994
54	1503	3964
55	1526	3925
56	1549	3887
57	1574	3855
58	1598	3820
59	1653	3859
60	1690	3852
61	1713	3814
62	1739	3782
63	1781	3785
64	1813	3765
65	1837	3730
66	1861	3694
67	1882	3655
68	1906	3620
69	1931	3586
70	1954	3550
71	1977	3515
72	1998	3477
73	2020	3440
74	2044	3407
75	2066	3371
76	2088	3336
77	2115	3308
78	2139	3276
79	2162	3244
80	2183	3208
81	2207	3177
82	2230	3144
83	2278	3146
84	2300	3111
85	2326	3084
86	2354	3058
87	2376	3024
88	2397	2990
89	2421	2960
90	2443	2926
91	2467	2896
92	2490	2865
93	2515	2836
94	2536	2803
95	2559	2772
96	2580	2740
97	2602	2709
98	2627	2680
99	2648	2648
100	2712	2659
101	2735	2627
102	2757	2596
103	2783	2569
104	2805	2538
105	2835	2514
106	2860	2486
107	2883	2456
108	2906	2426
109	2930	2397
110	2955	2370
111	2977	2339
112	3001	2311
113	3023	2281
114	3048	2252
115	3073	2225
116	3097	2197
117	3125	2171
118	3149	2143
119	3171	2114
120	3195	2086
121	3224	2061
122	3246	2032
123	3268	2002
124	3291	1975
125	3332	1957
126	3361	1932
127	3385	1904
128	3406	1875
129	3435	1849
130	3479	1832
131	3512	1809
132	3533	1780
133	3557	1752
134	3579	1723
135	3600	1694
136	3622	1665
137	3644	1637
138	3666	1608
139	3688	1580
140	3712	1553
141	3734	1525
142	3758	1498
143	3784	1471
144	3806	1443
145	3839	1420
146	3864	1393
147	3888	1366
148	3909	1338
149	3937	1312
150	3958	1284
151	3979	1256
152	4004	1229
153	4028	1203
154	4052	1176
155	4075	1149
156	4121	1128
157	4160	1105
158	4186	1079
159	4211	1052
160	4236	1026
161	4259	999
162	4285	972
163	4311	946
164	4344	921
165	4407	902
166	4429	875
167	4453	848
168	4480	821
169	4506	795
170	4527	767
171	4589	747
172	4625	721
173	4647	694
174	4675	667
175	4717	643
176	4739	615
177	4760	588
178	4782	561
179	4806	534
180	4835	507
181	4890	483
182	4914	456
183	4936	429
184	4957	401
185	4996	376
186	5020	349
187	5041	321
188	5093	296
189	5138	270
190	5182	244
191	5208	217
192	5231	189
193	5257	162
194	5285	135
195	5312	108
196	5337	81
197	5359	54
198	5382	27
199	5416	0
