model,feature_set,experiment,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,brier_mean,brier_std,error_rate_mean,error_rate_std,fnr_mean,fnr_std,sex_group_dp_diff_mean,sex_group_dp_diff_std,sex_group_di_ratio_mean,sex_group_di_ratio_std,sex_group_tpr_gap_mean,sex_group_tpr_gap_std,sex_group_fpr_gap_mean,sex_group_fpr_gap_std,sex_group_fnr_gap_mean,sex_group_fnr_gap_std,sex_group_accuracy_gap_mean,sex_group_accuracy_gap_std,sex_group_equalized_odds_diff_mean,sex_group_equalized_odds_diff_std,sex_group_worst_group_sensitivity_mean,sex_group_worst_group_sensitivity_std,sex_group_macro_avg_fnr_mean,sex_group_macro_avg_fnr_std,sex_group_group_auc_mean_mean,sex_group_group_auc_mean_std,sex_group_group_brier_mean_mean,sex_group_group_brier_mean_std,age_group_dp_diff_mean,age_group_dp_diff_std,age_group_di_ratio_mean,age_group_di_ratio_std,age_group_tpr_gap_mean,age_group_tpr_gap_std,age_group_fpr_gap_mean,age_group_fpr_gap_std,age_group_fnr_gap_mean,age_group_fnr_gap_std,age_group_accuracy_gap_mean,age_group_accuracy_gap_std,age_group_equalized_odds_diff_mean,age_group_equalized_odds_diff_std,age_group_worst_group_sensitivity_mean,age_group_worst_group_sensitivity_std,age_group_macro_avg_fnr_mean,age_group_macro_avg_fnr_std,age_group_group_auc_mean_mean,age_group_group_auc_mean_std,age_group_group_brier_mean_mean,age_group_group_brier_mean_std,income_group_dp_diff_mean,income_group_dp_diff_std,income_group_di_ratio_mean,income_group_di_ratio_std,income_group_tpr_gap_mean,income_group_tpr_gap_std,income_group_fpr_gap_mean,income_group_fpr_gap_std,income_group_fnr_gap_mean,income_group_fnr_gap_std,income_group_accuracy_gap_mean,income_group_accuracy_gap_std,income_group_equalized_odds_diff_mean,income_group_equalized_odds_diff_std,income_group_worst_group_sensitivity_mean,income_group_worst_group_sensitivity_std,income_group_macro_avg_fnr_mean,income_group_macro_avg_fnr_std,income_group_group_auc_mean_mean,income_group_group_auc_mean_std,income_group_group_brier_mean_mean,income_group_group_brier_mean_std,education_group_dp_diff_mean,education_group_dp_diff_std,education_group_di_ratio_mean,education_group_di_ratio_std,education_group_tpr_gap_mean,education_group_tpr_gap_std,education_group_fpr_gap_mean,education_group_fpr_gap_std,education_group_fnr_gap_mean,education_group_fnr_gap_std,education_group_accuracy_gap_mean,education_group_accuracy_gap_std,education_group_equalized_odds_diff_mean,education_group_equalized_odds_diff_std,education_group_worst_group_sensitivity_mean,education_group_worst_group_sensitivity_std,education_group_macro_avg_fnr_mean,education_group_macro_avg_fnr_std,education_group_group_auc_mean_mean,education_group_group_auc_mean_std,education_group_group_brier_mean_mean,education_group_group_brier_mean_std,intersection_group_dp_diff_mean,intersection_group_dp_diff_std,intersection_group_di_ratio_mean,intersection_group_di_ratio_std,intersection_group_tpr_gap_mean,intersection_group_tpr_gap_std,intersection_group_fpr_gap_mean,intersection_group_fpr_gap_std,intersection_group_fnr_gap_mean,intersection_group_fnr_gap_std,intersection_group_accuracy_gap_mean,intersection_group_accuracy_gap_std,intersection_group_equalized_odds_diff_mean,intersection_group_equalized_odds_diff_std,intersection_group_worst_group_sensitivity_mean,intersection_group_worst_group_sensitivity_std,intersection_group_macro_avg_fnr_mean,intersection_group_macro_avg_fnr_std,intersection_group_group_auc_mean_mean,intersection_group_group_auc_mean_std,intersection_group_group_brier_mean_mean,intersection_group_group_brier_mean_std
Logistic Regression,Original Features,balanced_dataset,0.745007722159039,0.0017930046839718344,0.7403567688262545,0.003213566718238115,0.7674445836676924,0.003208214123589097,0.753648291183799,0.0013476256817147047,0.8207135133613367,0.0025195004612595657,0.1717234002524949,0.0011424038035499754,0.254992277840961,0.0017930046839718344,0.23255541633230764,0.0032082141235890973,0.05759277903762876,0.010527899692039402,0.8968937860708319,0.0183713421568444,0.015202665197698573,0.006178707979520732,0.06446686638588309,0.00845328306883738,0.015202665197698534,0.006178707979520717,0.024162083759487762,0.0037245281429576053,0.06446686638588309,0.00845328306883738,0.7601060652727158,0.005756234995188967,0.23229260212843483,0.0030289687403509936,0.8187763534860413,0.0024256531079676403,0.1722822947752251,0.001079755839933594,0.5641057596174299,0.008052920776250177,0.19693842209810603,0.009705769544135597,0.3994019897229872,0.020754458680073723,0.4232502647157842,0.014618081613332421,0.3994019897229872,0.02075445868007374,0.1187096303240561,0.010255240193313081,0.4252367669734527,0.014147501997011971,0.43863187539014864,0.019033229839054092,0.331184501372498,0.0065587139295541445,0.8074811144691978,0.0011974888246474177,0.15979953765000532,0.0007944546196025157,0.39181984530517894,0.014968264541089968,0.48154108961826053,0.012477060506663524,0.2439979225890933,0.012966882327811381,0.3236639617167521,0.025060015224333584,0.24399792258909328,0.012966882327811327,0.023261834318801265,0.009827503246980009,0.3236639617167521,0.025060015224333584,0.6418040523407587,0.004356484241975029,0.223595200312572,0.0027401013205488292,0.8006387077343385,0.003406964826169775,0.1720153019700557,0.00148899729435084,0.4185919724417391,0.01885236006843672,0.4842210331999353,0.012490327728900897,0.22414137639625445,0.016323650798179733,0.3959044037776029,0.01625050705455521,0.2241413763962544,0.016323650798179785,0.024954423688055692,0.015929124170269593,0.3959044037776029,0.01625050705455521,0.676991021515368,0.004500653840212227,0.20741737289224466,0.006271747880674392,0.7996488131990958,0.008240688575286625,0.16836934595584352,0.001991126558577327,0.6078913516892752,0.011445381447647432,0.17662852206811752,0.013105886430605979,0.4262839225081498,0.02353479265635912,0.4896320602631302,0.02239126321382807,0.4262839225081498,0.023534792656359067,0.13655749796233743,0.01057910495765155,0.4896320602631302,0.02239126321382807,0.41866413632756794,0.024945152278930176,0.33032110994657504,0.006379319464960723,0.8050364253394935,0.0015018049213948114,0.16024206768438773,0.000934276882330272
Random Forest,Original Features,balanced_dataset,0.7456014329227114,0.002021558865074778,0.7360234652634661,0.0031794313057790465,0.7787845485736924,0.004762785393082721,0.7567878457196684,0.0019950089155956773,0.8219544782039868,0.0030547458340028006,0.171160331166001,0.0012914035296321107,0.2543985670772885,0.002021558865074778,0.2212154514263077,0.004762785393082721,0.02965991539385373,0.009419183093553326,0.9464701703936809,0.016927871856489595,0.021125292882032132,0.01491893851588593,0.04010490974353455,0.004545282992632838,0.021125292882032132,0.014918938515885934,0.02747230526743998,0.006772268848534894,0.041632185817848846,0.005345047916820599,0.7677643346260984,0.005173773549679123,0.22167301893288566,0.004502875917056919,0.8200562299578025,0.0029750731738402026,0.17175404457461957,0.0012483952190911081,0.5385434774170046,0.013304437845624639,0.22095163993346648,0.01755071094435073,0.3550357890293676,0.038580770076533724,0.4000884938889503,0.012059068375526415,0.3550357890293676,0.03858077007653375,0.11940204530947321,0.00999109321029947,0.4005257571077996,0.011811896932125377,0.47368740186967706,0.037281585273518936,0.31151725718196727,0.011561249572938529,0.8090604966897852,0.001904958997576681,0.15948198691452736,0.0010687333718778396,0.3800224580544641,0.00625749805523998,0.4992424822565515,0.003447290226983968,0.2261315718395315,0.007432769670073357,0.31848213858589614,0.017834577022109565,0.2261315718395315,0.0074327696700733645,0.01995599184049417,0.010236079447835663,0.31848213858589614,0.017834577022109565,0.6610287877979315,0.0060917201439811735,0.2130882351417999,0.004668117359375417,0.8025078816853879,0.00439286150715644,0.17136520169421005,0.001685122260236603,0.43123811188402056,0.011637349216619406,0.4796758142539607,0.005519528989634941,0.23784248077206493,0.01992827842048056,0.4091484503205704,0.046340752911047466,0.23784248077206493,0.019928278420480564,0.029001071995960248,0.021387912500643987,0.4091484503205704,0.046340752911047466,0.6804481283864388,0.010204284896982089,0.19571283247842666,0.00634088742691083,0.7985463521761076,0.009703939498147676,0.16843330107141413,0.001954953195189982,0.5738919829230216,0.009114057217600363,0.1979485354962497,0.00992380453268513,0.3899899763506285,0.039312753764548014,0.44980690041810745,0.012551391308255165,0.3899899763506285,0.03931275376454801,0.13284621527952525,0.0076460576525430755,0.44980690041810745,0.012551391308255165,0.44461027084069293,0.030770086148276584,0.3129993981080622,0.010263629482190312,0.8061945076231986,0.0024491150519334605,0.15995968659284016,0.0012264661804033104
XGBoost,Original Features,balanced_dataset,0.6602951719882809,0.002760897098173275,0.6021597187437298,0.0019132834274384952,0.9772914949207869,0.0020289632445842677,0.7451758521513177,0.0017488156803223821,0.8259674943951119,0.003496287097574508,0.24620860373999404,0.0013341509956625516,0.3397048280117191,0.002760897098173275,0.02270850507921316,0.0020289632445842677,0.06292010751761604,0.003602317580067306,0.9267643491981177,0.0040025036871337025,0.005204100153982316,0.004320053987205342,0.09649090663119944,0.006072199345902884,0.005204100153982297,0.0043200539872053625,0.01686634362619719,0.007791806168672751,0.09649090663119944,0.006072199345902884,0.9748235473475108,0.0017788950328573724,0.022574402575498094,0.002108625728062133,0.8239582484864879,0.0034332669552566346,0.24684184259277683,0.0014932509081105627,0.546768231088924,0.012468207776845522,0.4299548133954702,0.012070330013968556,0.15272774125648853,0.02852978919168798,0.6043681386747451,0.014483281680123356,0.1527277412564885,0.028529789191688006,0.09138018804587758,0.009909898045118177,0.6043681386747451,0.014483281680123356,0.8417093600187272,0.02777855849879416,0.0624414903425653,0.009255668682485414,0.8142041611028221,0.0023922606921801307,0.2336622829564634,0.0017052308506152328,0.20039426836530677,0.007654225442761734,0.7857081423692901,0.007153509775896638,0.032835911316296706,0.00407405975687816,0.2400149707662321,0.015139903515990753,0.032835911316296686,0.004074059756878161,0.08174178522074968,0.008097399570723088,0.2400149707662321,0.015139903515990753,0.9588404179173564,0.0032024876275479042,0.021738560670480196,0.0019138235999753104,0.8068621231243774,0.004559310868446936,0.24228889948691665,0.0015583494122248936,0.23092741470481798,0.007299026384908689,0.7619076180426027,0.0067704734488036765,0.031849155806550275,0.004550561761723388,0.3285408224536364,0.0316139931309383,0.031849155806550296,0.004550561761723383,0.09176780378105978,0.032594150262780126,0.3285408224536364,0.0316139931309383,0.9615810217033035,0.0033200324940615483,0.02057612310009757,0.0020640306353721747,0.8060826334273271,0.010318569474474399,0.23472930412098028,0.00642361974839306,0.5845289680314562,0.01300779391369534,0.4095447299475964,0.01301697036149042,0.17215122576496714,0.028034350625907596,0.6902844319478436,0.018169896895615937,0.1721512257649671,0.028034350625907572,0.13001797916669855,0.014699090421092851,0.6902844319478436,0.018169896895615937,0.8254758716992677,0.02708276271248555,0.0625946175947245,0.009423162945708923,0.811084986251301,0.0027011382615297662,0.2343163542242396,0.0018598932182034454
LightGBM,Original Features,balanced_dataset,0.74854102012601,0.0026846638078720534,0.7341902894528206,0.003969022235860764,0.7920049852476125,0.00408756993203834,0.7619904370284455,0.002167351320856907,0.8255809996577657,0.003757634000162052,0.16901243676176522,0.0017284835605098467,0.25145897987399,0.0026846638078720534,0.2079950147523876,0.00408756993203834,0.0555192323083872,0.0096332142522492,0.9040439108511389,0.016543999900843282,0.013036519894254871,0.0068892276227084,0.06529767294692422,0.006329915779568151,0.013036519894254917,0.006889227622708398,0.025522372110153978,0.005512979605271355,0.06529767294692422,0.006329915779568151,0.7856340021759856,0.003894928019539921,0.20784773787688696,0.00396190331231352,0.823594708421763,0.003685518235261578,0.16957258154129848,0.0016780508125966123,0.5739433224319253,0.009531944565965273,0.19969721772055152,0.013038870886217798,0.3950009414959955,0.03225747865285486,0.43598289924248534,0.011826009598906726,0.3950009414959955,0.03225747865285488,0.1177538088643005,0.012267460179738074,0.4380856809182442,0.010075068065916029,0.458345753454085,0.031670450887040735,0.3072648711386861,0.009553763695625049,0.8138883001336948,0.0026054099997695783,0.15718267113433187,0.0013335936529158992,0.38608804704920785,0.00844172773131882,0.49927967443695226,0.008427351864236198,0.22660618291109608,0.008584548910521024,0.32857275243349415,0.018975321367094036,0.22660618291109608,0.008584548910520996,0.02013133812859085,0.009092289606423203,0.32857275243349415,0.018975321367094036,0.6725269797917396,0.007983414381494903,0.20006909344657808,0.003466423694849801,0.806226224126747,0.005243467460774645,0.1693091463621861,0.0020445487462797786,0.4336324328976745,0.011929585881893644,0.48595265723574926,0.007736349366869736,0.23287756299944729,0.019637608193157737,0.4186865943078576,0.06024512987524711,0.23287756299944729,0.019637608193157758,0.03396371016639086,0.02485923651051937,0.4186865943078576,0.06024512987524711,0.6990400998803398,0.01130486983796318,0.18134614248414255,0.008717682276684909,0.8036885509061781,0.010326898216931349,0.16588522470726946,0.0023423947283331054,0.641546297782887,0.006059765733813124,0.16720048573439286,0.004183030688000873,0.4459141779442022,0.035669294190968544,0.526231100846209,0.010297693006725983,0.4459141779442022,0.03566929419096851,0.13440440824555536,0.011253585163740363,0.526231100846209,0.010297693006725983,0.4239767015138371,0.038735463798870454,0.30862164511983864,0.00845314403775128,0.8108206521025446,0.00288260473984591,0.15758868245538343,0.0015014884403348758
CatBoost,Original Features,balanced_dataset,0.6533878484022324,0.003318410670277977,0.5967768380677644,0.002276197658140646,0.980539634179754,0.001726327291722336,0.741971590862066,0.002012645649179118,0.8249885393724263,0.0031378016851253327,0.24882607915531607,0.001421529543178999,0.3466121515977676,0.003318410670277977,0.01946036582024613,0.001726327291722336,0.05890441157578832,0.003778570226047087,0.9320719172919271,0.004225398425608509,0.005507806283758509,0.00442600899244032,0.08952451799015515,0.00658248490749917,0.005507806283758523,0.00442600899244034,0.012666041858883315,0.008099888868105573,0.08952451799015515,0.00658248490749917,0.9779207979741947,0.002235102617896518,0.019325298883925958,0.001786564442827796,0.8229523287593498,0.003062464407539555,0.2493672103249426,0.0015828938179603229,0.5186246759486577,0.011353754452011686,0.46026826341771604,0.010254414502693569,0.13147930572867858,0.022648436163874002,0.5762968647410547,0.011457722419673869,0.13147930572867855,0.022648436163873974,0.07820405974609101,0.005912642586686035,0.5762968647410547,0.011457722419673869,0.8632360121960186,0.02154220272701872,0.053793279146153186,0.0072932272350719855,0.812719968219376,0.0021496994409423696,0.23727497800378053,0.0019748512973365856,0.19581524986126347,0.005423560078423245,0.7920412924253076,0.005165791837820428,0.03044745739323491,0.004042160196181589,0.24009653257042043,0.01007014321602231,0.030447457393234935,0.004042160196181574,0.08533351671108662,0.0073468462282068785,0.24009653257042043,0.01007014321602231,0.963003380617595,0.0032193100873147995,0.01862281683485973,0.0016213242462396974,0.8056483497829376,0.004325748337659318,0.2447420879652507,0.001587992648195568,0.22759183770375846,0.009111543099890703,0.7670445288862713,0.008298477148150619,0.029837788998004867,0.0031690485482688325,0.33251501284229207,0.027949826560772772,0.02983778899800486,0.0031690485482687813,0.09499406306824945,0.03187542754622341,0.33251501284229207,0.027949826560772772,0.9660902737683548,0.0031984146470171305,0.017323404106626937,0.0012975459343126888,0.8038945780996007,0.010882638709774167,0.23679163218368643,0.006288212659095467,0.5504047856708001,0.008618838802344278,0.4398954310077051,0.007988827336523324,0.15405188774117623,0.029307541491076172,0.6464826193278833,0.008003879100079542,0.15405188774117626,0.029307541491076183,0.12147273954753661,0.011037384469392161,0.6464826193278833,0.008003879100079542,0.8423321506198171,0.027600662321255954,0.053543800264562666,0.0071170762619366,0.8097389849894432,0.0025748873161223046,0.23794889626367066,0.002171065657124123
MLP,Original Features,balanced_dataset,0.74706399640356,0.0034919965781121066,0.7256974115794157,0.005172753804494816,0.8076759337394757,0.004261958062805983,0.7644767889236925,0.002402055350436006,0.8222942118214236,0.0032968246333649467,0.17052840510811482,0.001618139182431323,0.2529360035964399,0.0034919965781121066,0.19232406626052445,0.004261958062805983,0.06404479004102279,0.018470067112991803,0.8936464010459465,0.029334097786339764,0.020194648556026974,0.014516744208843173,0.07526776523129769,0.019035528124307803,0.020194648556026963,0.014516744208843186,0.02508659760053451,0.006493437875108819,0.07526776523129769,0.019035528124307803,0.797928017521621,0.010357586508212533,0.19197465820036547,0.004140486658570912,0.8203799191095955,0.0031183294862598306,0.17108319789489168,0.0015376986812286383,0.564076997007599,0.017982832834214202,0.22296245552984276,0.019565238194431615,0.35668056786699054,0.036065706168558254,0.4390883348964712,0.023321331470709552,0.35668056786699054,0.036065706168558254,0.12007606221767649,0.008197613189618024,0.4390883348964712,0.023321331470709552,0.5015192219496866,0.03669873524197019,0.2829634616507619,0.011017272178886811,0.8102142346714128,0.0011651056677572992,0.15858628161762925,0.0010571388641635085,0.37333439560531106,0.007790806467827646,0.5226675130495566,0.004686416544540395,0.20660770201406214,0.004569264295374604,0.3240233375221337,0.019609443354823137,0.20660770201406214,0.004569264295374654,0.023015293624828192,0.007536253686468872,0.3240233375221337,0.019609443354823137,0.7009385144843858,0.003968378936342733,0.18476772203132966,0.0045099554298935664,0.8020474409824777,0.004703728798705576,0.17086999313680437,0.0019784914992538863,0.42215869893455416,0.0076834478564778205,0.5049468026111572,0.00350195206618131,0.21451736316868808,0.01864809217228469,0.4195000359154032,0.030574858084432183,0.21451736316868814,0.018648092172284716,0.031238171716686323,0.019299779010405128,0.4195000359154032,0.030574858084432183,0.7224278597320158,0.00833763702825373,0.167575932186032,0.005110891608752252,0.7988099135481594,0.009446694888719654,0.16755581558460025,0.001867549354197121,0.6403944551567629,0.009789705449651792,0.18435222948167151,0.014905428050689135,0.4142921769794933,0.041136631074177386,0.541774643210422,0.015759324795740742,0.4142921769794933,0.0411366310741774,0.1332192314984947,0.004691284740281679,0.541774643210422,0.015759324795740742,0.46408203634509626,0.04881006903162724,0.28433689372293486,0.010805549332273403,0.8071416753707744,0.0015027394429214373,0.15902534887537784,0.001143374864585685
Fairlearn-DP,Original Features,balanced_dataset,0.7446022514067754,0.002602444942096172,0.740164845753522,0.004162673657290724,0.7666467898082088,0.0033846561603290155,0.753161588689501,0.0019466614173549177,0.7442332888970372,0.002654456138216555,0.2553977485932246,0.00260244494209619,0.2553977485932246,0.002602444942096172,0.23335321019179123,0.0033846561603290155,0.03942524942861255,0.01760892382297095,0.9283817026502612,0.030812935433455608,0.012523486259134908,0.014415107563588865,0.04674366056154253,0.013873692599193691,0.012523486259134926,0.014415107563588873,0.02504577317805896,0.006058525301160962,0.04693758540884792,0.01370247751373085,0.76019173834529,0.007145789141873138,0.23354651852514258,0.0032566566452360453,0.7425931405991523,0.002462709856592971,0.2564893698094478,0.002473455166483624,0.5617492344068636,0.01037690339653684,0.19817748151738007,0.012926959739201547,0.3953252229291483,0.02373377717800846,0.42236890257186693,0.01752959399228471,0.3953252229291483,0.023733777178008456,0.12017119487133317,0.01056265569798201,0.42436617191726017,0.0168034314870672,0.4401051106267456,0.023720810117550024,0.33120586467972296,0.00800146655136881,0.7032804241545337,0.0024927773433719106,0.2358447307673524,0.002310687244335741,0.39814498081005095,0.015784754545818094,0.4755164519232732,0.012899163646224093,0.2495032719830778,0.014283667226173434,0.3330330745680249,0.024124412709175293,0.24950327198307778,0.014283667226173413,0.021943752639534943,0.009271801023790365,0.3330330745680249,0.024124412709175293,0.6377306400908979,0.006160143564896948,0.2242585846225446,0.0028009809420840863,0.7151948536796817,0.004281545637028533,0.2544978740779276,0.00283775388281358,0.4209265705870183,0.01905505051460338,0.480625983608872,0.01315361868720716,0.22846000245789105,0.014701699111442947,0.39714313519086736,0.026456042348015192,0.22846000245789105,0.014701699111442954,0.023988880506298837,0.010548871373062029,0.39714313519086736,0.026456042348015192,0.6719694045447023,0.004271455638645064,0.20898789839967727,0.005092926323196684,0.7100903841909438,0.006183913906960152,0.24844986600900398,0.0016298009802548,0.5953263314645806,0.016571087398916846,0.17981881611049205,0.01613934031859776,0.4242585089377058,0.03468672553791625,0.4744758057231797,0.02889972631994888,0.4242585089377058,0.03468672553791625,0.13778572241211967,0.008920331579551742,0.477621822607002,0.027499783904333157,0.41830334798266494,0.030016153745645834,0.3314373238293782,0.007760404129441765,0.7012217712350538,0.0023812616306346976,0.23662329426019504,0.0024666480296417935
VFAE,Original Features,balanced_dataset,0.7367246489643199,0.004840502203084887,0.6871158609747476,0.010391777206336914,0.886001877687303,0.019880572771356707,0.7737744568082354,0.002184018995226329,0.8225349023273619,0.0024957670057999502,0.17054562490192998,0.0010134027598983535,0.26327535103568017,0.004840502203084887,0.11399812231269704,0.019880572771356707,0.04847448871730779,0.01798811418402049,0.9292677579009367,0.025445359487091535,0.015032592753609042,0.006205036230533365,0.0620751293451959,0.025267482806874905,0.015032592753609058,0.006205036230533359,0.018744489771924954,0.007652407349956103,0.0620751293451959,0.025267482806874905,0.8784755428792904,0.02157365044324858,0.11400816074390518,0.01988573841583632,0.8210395882637028,0.0024160645215985897,0.1710905083364545,0.0009492586497310191,0.6116441450746247,0.013489770451604063,0.2655849756236969,0.013707041374322305,0.31075486414584447,0.01851196127287929,0.5548571747365834,0.03640200887036775,0.31075486414584447,0.018511961272879327,0.12550865515427584,0.010603839292056738,0.5548571747365834,0.03640200887036775,0.6232578240552696,0.02694024523703166,0.19218179392452633,0.021598185776568045,0.8105579036908825,0.0014787842990963637,0.15843680887874118,0.0008565240463054817,0.3499552374405191,0.016979058788737157,0.5894971093220646,0.02653271587717634,0.15116871033114124,0.017203007046513362,0.35275441473075186,0.019213406924312972,0.15116871033114126,0.017203007046513397,0.022903912349834042,0.012721646407816943,0.35275441473075186,0.019213406924312972,0.8037172923252991,0.027424657631699132,0.10912009599229403,0.019567559471655026,0.8030905814650726,0.0037157851889986987,0.17076838409968456,0.0014742891685890758,0.3752918316605417,0.017762154000268364,0.5831595486750129,0.02068307132823935,0.14391574842018198,0.023185824100500477,0.42556055562214434,0.05607143748605759,0.14391574842018198,0.02318582410050045,0.03327637859109704,0.017020650735035517,0.42556055562214434,0.05607143748605759,0.8220585878450194,0.028871709407865796,0.10080551692270823,0.017581711741977774,0.8025112069848623,0.009292537789886281,0.16691778941563631,0.001970214190515865,0.6623725107717264,0.01556299510200375,0.23600403703310638,0.01744941240544145,0.3500506190346478,0.02816860778077945,0.6285910450041086,0.0473659641366061,0.3500506190346478,0.0281686077807794,0.13442194747992797,0.012193964154242058,0.6285910450041086,0.0473659641366061,0.5900541875970124,0.03710908605122054,0.19356197298299133,0.02208814840671373,0.8079208284702506,0.0017048309245555615,0.15885134054956318,0.0010112754995477452
Logistic Regression,Without Sensitive Attributes,balanced_dataset,0.7376659695932741,0.0036636547612229585,0.7363116239332571,0.004760900837548613,0.7538252216511228,0.004236151703328038,0.7449545710248942,0.0032065220093421957,0.8121417389092336,0.002628828355017501,0.17630249248149635,0.0011728989803743764,0.262334030406726,0.0036636547612229585,0.2461747783488772,0.004236151703328039,0.010618193278548783,0.009998552531933495,0.9798672669269767,0.018909933378020903,0.04741816474990825,0.011883493364834463,0.025908247741832136,0.011249647907757962,0.047418164749908204,0.01188349336483442,0.035453176460621426,0.004901631573394699,0.048561327496687165,0.010385122616657676,0.7290488665139406,0.0020022717577282845,0.24724205111110517,0.0040090826411364675,0.8101031090162089,0.002549523059116137,0.17710925851448706,0.0011207855153368698,0.40922192782497147,0.00865956408066149,0.35398052611599273,0.010443308395737753,0.1571664216817644,0.022615243893773306,0.2881423468875253,0.021579372543385565,0.15716642168176437,0.022615243893773316,0.12052141843032874,0.014887474413703177,0.2881423468875253,0.021579372543385565,0.6145611061678359,0.018454366036617275,0.28700537212379745,0.0044903209199316195,0.8040839997221692,0.0017262853754209505,0.16606293638318367,0.0009258182573091634,0.4013297746816205,0.009679489642091072,0.4720493922523584,0.008022525660785948,0.2600788841811189,0.004492632079631549,0.3357689591812756,0.02128981147656153,0.2600788841811189,0.004492632079631542,0.02252976419747952,0.00958160792768231,0.3357689591812756,0.02128981147656153,0.6248678599669151,0.002880161895218322,0.2358575186469368,0.004128915946564835,0.7924930063977186,0.003724881966577971,0.1761871986317886,0.0015582114591729417,0.4281415402346517,0.011420043705991461,0.4682105955724025,0.007455442208909815,0.2515129174806974,0.01604072989409345,0.38988116479222445,0.03692142446158429,0.2515129174806974,0.01604072989409343,0.030040668690067496,0.016331177980840925,0.38988116479222445,0.03692142446158429,0.6459323328654382,0.005060868352885815,0.22119180634410762,0.005326528515338031,0.7917977869924938,0.009020941112680831,0.17245981104702596,0.0011541069264194854,0.42231100018578893,0.004238791863212766,0.3366726121321066,0.00424628530228913,0.2088491730174818,0.04301396094191859,0.31197528600753277,0.026124333982170324,0.2088491730174818,0.043013960941918554,0.14396285247895246,0.009773815551880104,0.31197528600753277,0.026124333982170324,0.5889129119623706,0.03290870575475185,0.28823966363766085,0.0037479043939938933,0.8016202010846503,0.0021842799771335003,0.16675949484114277,0.0009871550809504746
Random Forest,Without Sensitive Attributes,balanced_dataset,0.7383755027822441,0.004190776885327815,0.7307210695680584,0.00556995555908541,0.7684703099320566,0.004921145276340258,0.7491038307192047,0.003512661174062129,0.8126042750660272,0.0027832897295603505,0.17588774410856878,0.0011878556462246793,0.26162449721775605,0.004190776885327815,0.23152969006794338,0.004921145276340259,0.01167746401036518,0.010654693093755172,0.9784534876908442,0.019646257178749457,0.04470158745776045,0.014040375522445924,0.02876095167555768,0.009945649695150386,0.04470158745776043,0.014040375522445926,0.034247100830781155,0.006907703958506802,0.04549425279817739,0.013190094428926285,0.7451306653094298,0.003222976665029338,0.23251854096168995,0.004643081573861394,0.8104752241707708,0.002731061053604821,0.17667106628130988,0.0011577654283902647,0.4073766879865917,0.005965798196112382,0.3686057333638054,0.009018734335970984,0.14613023704429054,0.019410538187285456,0.28763562803793696,0.01457561075726372,0.1461302370442905,0.01941053818728543,0.11305271974997697,0.013541994566700804,0.28763562803793696,0.01457561075726372,0.6381583666381436,0.018498929788195444,0.26966484557399223,0.004992466413159651,0.8049378381990667,0.002081221156950171,0.16606475954942218,0.0009748643913449806,0.3906593627844624,0.008197886936597785,0.4877038476875139,0.007078533864944965,0.24872145607551266,0.005623376652222621,0.32447002207001807,0.01681327460476792,0.24872145607551266,0.005623376652222605,0.021746307869675352,0.00976495052250303,0.32447002207001807,0.01681327460476792,0.6395577852801306,0.0049736767828573135,0.22250624815356806,0.004875407432051354,0.7931352747061795,0.004036710123248801,0.1757554288965842,0.0015035001364595416,0.44810746309026034,0.007638044257632073,0.46377830017085964,0.003122763617510371,0.25773480611113686,0.019691813057876713,0.4399395640197519,0.04646696439841717,0.2577348061111369,0.019691813057876744,0.026910073498640563,0.01900762147966895,0.4399395640197519,0.04646696439841717,0.6586320897846104,0.011842620082398402,0.20554680976184586,0.007551215220804,0.7883190493903585,0.009791408375107608,0.17289761489339003,0.0011235314213663289,0.41964210983209654,0.00984101849694027,0.35461182092933596,0.01278533717381518,0.19269251306023213,0.041972881920487086,0.31412930851919774,0.022654252934982747,0.1926925130602321,0.04197288192048707,0.1362648075548914,0.011590341799260002,0.31412930851919774,0.022654252934982747,0.6159503300515163,0.037498488806847405,0.27043564318418967,0.005004773432096819,0.8024394088936593,0.002706569360505893,0.16677814537975127,0.001046056737905169
