experiment,model,feature_set,accuracy_mean,precision_mean,recall_mean,fnr_mean,f1_mean,auc_mean,brier_mean,sex_group_dp_diff_mean,sex_group_fnr_gap_mean,sex_group_worst_group_sensitivity_mean,sex_group_macro_avg_fnr_mean,sex_group_group_auc_mean_mean,sex_group_group_brier_mean_mean,age_group_dp_diff_mean,age_group_fnr_gap_mean,age_group_worst_group_sensitivity_mean,age_group_macro_avg_fnr_mean,income_group_dp_diff_mean,education_group_dp_diff_mean,intersection_group_equalized_odds_diff_mean,intersection_group_fnr_gap_mean,intersection_group_worst_group_sensitivity_mean,intersection_group_macro_avg_fnr_mean
balanced_dataset,Logistic Regression,Original Features,0.745,0.7404,0.7674,0.2326,0.7536,0.8207,0.1717,0.0576,0.0152,0.7601,0.2323,0.8188,0.1723,0.5641,0.3994,0.4386,0.3312,0.3918,0.4186,0.4896,0.4263,0.4187,0.3303
balanced_dataset,Random Forest,Original Features,0.7456,0.736,0.7788,0.2212,0.7568,0.822,0.1712,0.0297,0.0211,0.7678,0.2217,0.8201,0.1718,0.5385,0.355,0.4737,0.3115,0.38,0.4312,0.4498,0.39,0.4446,0.313
balanced_dataset,XGBoost,Original Features,0.6603,0.6022,0.9773,0.0227,0.7452,0.826,0.2462,0.0629,0.0052,0.9748,0.0226,0.824,0.2468,0.5468,0.1527,0.8417,0.0624,0.2004,0.2309,0.6903,0.1722,0.8255,0.0626
balanced_dataset,LightGBM,Original Features,0.7485,0.7342,0.792,0.208,0.762,0.8256,0.169,0.0555,0.013,0.7856,0.2078,0.8236,0.1696,0.5739,0.395,0.4583,0.3073,0.3861,0.4336,0.5262,0.4459,0.424,0.3086
balanced_dataset,CatBoost,Original Features,0.6534,0.5968,0.9805,0.0195,0.742,0.825,0.2488,0.0589,0.0055,0.9779,0.0193,0.823,0.2494,0.5186,0.1315,0.8632,0.0538,0.1958,0.2276,0.6465,0.1541,0.8423,0.0535
balanced_dataset,MLP,Original Features,0.7471,0.7257,0.8077,0.1923,0.7645,0.8223,0.1705,0.064,0.0202,0.7979,0.192,0.8204,0.1711,0.5641,0.3567,0.5015,0.283,0.3733,0.4222,0.5418,0.4143,0.4641,0.2843
balanced_dataset,Fairlearn-DP,Original Features,0.7446,0.7402,0.7666,0.2334,0.7532,0.7442,0.2554,0.0394,0.0125,0.7602,0.2335,0.7426,0.2565,0.5617,0.3953,0.4401,0.3312,0.3981,0.4209,0.4776,0.4243,0.4183,0.3314
balanced_dataset,VFAE,Original Features,0.7367,0.6871,0.886,0.114,0.7738,0.8225,0.1705,0.0485,0.015,0.8785,0.114,0.821,0.1711,0.6116,0.3108,0.6233,0.1922,0.35,0.3753,0.6286,0.3501,0.5901,0.1936
balanced_dataset,Logistic Regression,Without Sensitive Attributes,0.7377,0.7363,0.7538,0.2462,0.745,0.8121,0.1763,0.0106,0.0474,0.729,0.2472,0.8101,0.1771,0.4092,0.1572,0.6146,0.287,0.4013,0.4281,0.312,0.2088,0.5889,0.2882
balanced_dataset,Random Forest,Without Sensitive Attributes,0.7384,0.7307,0.7685,0.2315,0.7491,0.8126,0.1759,0.0117,0.0447,0.7451,0.2325,0.8105,0.1767,0.4074,0.1461,0.6382,0.2697,0.3907,0.4481,0.3141,0.1927,0.616,0.2704
balanced_dataset,XGBoost,Without Sensitive Attributes,0.6393,0.5871,0.9783,0.0217,0.7338,0.816,0.2569,0.0375,0.0053,0.9755,0.0218,0.814,0.2569,0.3007,0.04,0.9426,0.0322,0.1878,0.2155,0.3428,0.0538,0.9319,0.0322
balanced_dataset,LightGBM,Without Sensitive Attributes,0.7417,0.7326,0.7747,0.2253,0.753,0.8155,0.1744,0.0138,0.0431,0.7522,0.2263,0.8134,0.1752,0.4132,0.1625,0.6319,0.2673,0.3953,0.4418,0.3088,0.2059,0.6106,0.2681
balanced_dataset,CatBoost,Without Sensitive Attributes,0.6346,0.5836,0.9807,0.0193,0.7318,0.8156,0.2587,0.0354,0.0053,0.9779,0.0195,0.8135,0.2588,0.2898,0.0369,0.9471,0.0291,0.1824,0.2147,0.3256,0.0536,0.9333,0.0292
