group,n_samples,selection_rate,tpr,fpr,fnr,auc,brier,method,epsilon
female,31965,0.3498513999687158,0.7699231613611416,0.28004377964246624,0.2300768386388584,0.8185519278540968,0.17453179361437715,MLP non-private,inf
male,25404,0.3879310344827586,0.7482815833135814,0.31616709936275667,0.2517184166864186,0.787241315865274,0.1915020886533676,MLP non-private,inf
female,31965,0.27611450023463163,0.6790340285400659,0.20915724188252463,0.32096597145993416,0.8161215569886238,0.11927952154609373,DP-SGD MLP ε=0.5,0.49309638908086084
male,25404,0.30522752322468905,0.6330884095757289,0.23993391550625442,0.36691159042427113,0.7782043514109469,0.14180616944184232,DP-SGD MLP ε=0.5,0.49309638908086084
female,31965,0.25118097919599564,0.6395170142700329,0.18664720904779278,0.36048298572996706,0.8153801744537856,0.11900024768684897,DP-SGD MLP ε=1.0,0.9916905349862059
male,25404,0.2793654542591718,0.6079639725053331,0.21392494689638897,0.392036027494667,0.7795996991033125,0.14136321105451144,DP-SGD MLP ε=1.0,0.9916905349862059
female,31965,0.2848740810261223,0.6941822173435784,0.21685516234950747,0.3058177826564215,0.8184966906963453,0.11850174979385147,DP-SGD MLP ε=3.0,2.995043612306925
male,25404,0.314832309872461,0.6548945247689025,0.24710880339863112,0.3451054752310974,0.7836392600698269,0.14111045038292525,DP-SGD MLP ε=3.0,2.995043612306925
female,31965,0.2714844361019865,0.6691547749725576,0.20539948923750456,0.33084522502744235,0.8176456548144191,0.11900029661808242,DP-SGD MLP ε=5.0,4.996649711944744
male,25404,0.30652653125492046,0.6390139843564826,0.24031154118480055,0.3609860156435174,0.7839684965844802,0.1405845648724309,DP-SGD MLP ε=5.0,4.996649711944744
female,31965,0.27367433129985924,0.6744237102085621,0.2070777088653776,0.325576289791438,0.818414906223381,0.11896149273685368,DP-SGD MLP ε=10.0,9.996391794477287
male,25404,0.3023933238860022,0.6371178004266413,0.2357328298324286,0.3628821995733586,0.7834944338196509,0.1409228602454158,DP-SGD MLP ε=10.0,9.996391794477287
