method,epsilon,clipping,threshold,accuracy,precision,recall,fnr,f1,auc,brier,dp_diff,di_ratio,tpr_gap,fpr_gap,fnr_gap,accuracy_gap,equalized_odds_diff,worst_group_sensitivity,macro_avg_fnr,group_auc_mean,group_brier_mean,target_epsilon,spent_epsilon
MLP non-private,inf,none,0.5,0.7036727152294794,0.31094870380584666,0.7710280373831776,0.2289719626168224,0.44317065181788406,0.804469583206967,0.18649207883303007,0.03893143857672032,0.9028950156501715,0.025552535456532022,0.03788229799553405,0.02555253545653205,0.03405956458783266,0.03788229799553405,0.7577625029627874,0.22946122930894658,0.8025868750340013,0.18744497787700376,,
DP-SGD MLP ε=0.5 [fixed],0.5,fixed,0.03,0.7714445083581726,0.35906432748538014,0.6298153635741965,0.37018463642580346,0.45737460685317,0.7996706811763881,0.12985986441954414,0.02896839813799057,0.8981435036266419,0.03295967304876868,0.02843551668700628,0.032959673048768734,0.03304750464774553,0.03295967304876868,0.612704432329936,0.3708157311456797,0.7975482996130434,0.1311454142375782,0.5,0.49309638908086084
DP-SGD MLP ε=0.5 [adaptive],0.5,adaptive,0.03,0.7654133765622548,0.35395360439012225,0.6469113289263734,0.3530886710736266,0.4575574365175333,0.8007731279029632,0.1305267491711603,0.02352424611797521,0.9196112525718264,0.04854116381671025,0.02465027906465317,0.0485411638167102,0.03161936240341989,0.04854116381671025,0.6217113059966817,0.35401811209496326,0.7986631200463283,0.1318185474374014,0.5,0.49309638908086084
DP-SGD MLP ε=1.0 [fixed],1.0,fixed,0.03,0.771148181073402,0.35800456472122594,0.625712331889674,0.374287668110326,0.45543158156704966,0.8003214184553588,0.12775145016269812,0.022493850848468,0.9196182603805766,0.04697124424581811,0.023438029685325434,0.046971244245818056,0.03110271102050466,0.04697124424581811,0.6013273287508888,0.37518704912620215,0.7980921556611662,0.1290360890172684,1.0,0.9916905349862059
DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive,0.03,0.781327894856107,0.3685421459945618,0.6024618190107135,0.3975381809892865,0.4573257775662932,0.800374379184325,0.12808734293929294,0.027246702208315488,0.8972576483746405,0.026839640547218657,0.025574435595732137,0.026839640547218713,0.030721596254642325,0.026839640547218657,0.5885280872244608,0.39805209250192986,0.7982079875067147,0.12937428526782452,1.0,0.9916905349862059
DP-SGD MLP ε=3.0 [fixed],3.0,fixed,0.03,0.7672087712876292,0.35624176237996613,0.6469113289263734,0.3530886710736266,0.4594649289674991,0.803654337206011,0.12828225364999138,0.02914855577231862,0.9008449503427983,0.038953362669373215,0.029495952897361788,0.038953362669373215,0.034276451991472445,0.038953362669373215,0.6266887888125148,0.35383452985279856,0.8015423447966007,0.12949804885313657,3.0,2.995043612306925
DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive,0.03,0.76129965660897,0.35083676934271163,0.6594483701846364,0.3405516298153636,0.45800680756748197,0.8027995096213164,0.12842193299841345,0.032077978386403805,0.8949453444723214,0.031599873969333836,0.031526043953404026,0.031599873969333725,0.034338965009630296,0.031599873969333836,0.6430433752073951,0.341156687807938,0.8007780680548784,0.12966384619548552,3.0,2.995043612306925
DP-SGD MLP ε=5.0 [fixed],5.0,fixed,0.05,0.8096010040265649,0.4047006651884701,0.5200592660132208,0.47994073398677917,0.4551847972467455,0.8030707313625481,0.1267564420143226,0.01781971985921954,0.9136907219630861,0.030192462148521004,0.0159758927817234,0.03019246214852106,0.0262177847005991,0.030192462148521004,0.5043849253377578,0.4805188435879817,0.8010052909192058,0.12795174706072282,5.0,4.996649711944744
DP-SGD MLP ε=5.0 [adaptive],5.0,adaptive,0.03,0.778887552510938,0.3658319039451115,0.6077045817187143,0.39229541828128567,0.4567219152854512,0.8010046590008977,0.12857283080174758,0.029879497392526266,0.8896235637982061,0.028720317813747842,0.028998312928693953,0.028720317813747787,0.03368920792780783,0.028998312928693953,0.5927945010666035,0.3928453400265226,0.7987642394748136,0.12981669288820696,5.0,4.996649711944744
DP-SGD MLP ε=10.0 [fixed],10.0,fixed,0.03,0.7667207028185954,0.35494429407691824,0.6426943241395031,0.3573056758604969,0.4573212765094684,0.8026939481771962,0.1285119835636701,0.02620744775687217,0.9101034292714582,0.04407071766971271,0.027062654124033886,0.04407071766971277,0.03311790152505756,0.04407071766971271,0.6198151220668405,0.35814951909830317,0.8005774170618335,0.12979604115943694,10.0,9.996391794477287
DP-SGD MLP ε=10.0 [adaptive],10.0,adaptive,0.03,0.7718454217434503,0.359235336334573,0.6275359015272396,0.3724640984727604,0.45691050163893615,0.8023826910237393,0.12865972726708103,0.031009951912892464,0.8909802354836535,0.03724357091397468,0.03167801211284996,0.03724357091397473,0.03652231741717382,0.03724357091397468,0.6082009954965631,0.3731772190464495,0.8002371584726907,0.12990211971678636,10.0,9.996391794477287
