model,feature_set,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,error_rate_mean,error_rate_std,sex_group_dp_diff_mean,sex_group_dp_diff_std,sex_group_di_ratio_mean,sex_group_di_ratio_std,sex_group_tpr_gap_mean,sex_group_tpr_gap_std,sex_group_fpr_gap_mean,sex_group_fpr_gap_std,sex_group_fnr_gap_mean,sex_group_fnr_gap_std,sex_group_accuracy_gap_mean,sex_group_accuracy_gap_std,sex_group_equalized_odds_diff_mean,sex_group_equalized_odds_diff_std,age_group_dp_diff_mean,age_group_dp_diff_std,age_group_di_ratio_mean,age_group_di_ratio_std,age_group_tpr_gap_mean,age_group_tpr_gap_std,age_group_fpr_gap_mean,age_group_fpr_gap_std,age_group_fnr_gap_mean,age_group_fnr_gap_std,age_group_accuracy_gap_mean,age_group_accuracy_gap_std,age_group_equalized_odds_diff_mean,age_group_equalized_odds_diff_std,income_group_dp_diff_mean,income_group_dp_diff_std,income_group_di_ratio_mean,income_group_di_ratio_std,income_group_tpr_gap_mean,income_group_tpr_gap_std,income_group_fpr_gap_mean,income_group_fpr_gap_std,income_group_fnr_gap_mean,income_group_fnr_gap_std,income_group_accuracy_gap_mean,income_group_accuracy_gap_std,income_group_equalized_odds_diff_mean,income_group_equalized_odds_diff_std,education_group_dp_diff_mean,education_group_dp_diff_std,education_group_di_ratio_mean,education_group_di_ratio_std,education_group_tpr_gap_mean,education_group_tpr_gap_std,education_group_fpr_gap_mean,education_group_fpr_gap_std,education_group_fnr_gap_mean,education_group_fnr_gap_std,education_group_accuracy_gap_mean,education_group_accuracy_gap_std,education_group_equalized_odds_diff_mean,education_group_equalized_odds_diff_std,intersection_group_dp_diff_mean,intersection_group_dp_diff_std,intersection_group_di_ratio_mean,intersection_group_di_ratio_std,intersection_group_tpr_gap_mean,intersection_group_tpr_gap_std,intersection_group_fpr_gap_mean,intersection_group_fpr_gap_std,intersection_group_fnr_gap_mean,intersection_group_fnr_gap_std,intersection_group_accuracy_gap_mean,intersection_group_accuracy_gap_std,intersection_group_equalized_odds_diff_mean,intersection_group_equalized_odds_diff_std
Logistic Regression,Original Features,0.7315042573320719,0.0015163540232339256,0.3113928675711807,0.002408926238607409,0.7652920304863177,0.009989035191524193,0.44266279607774084,0.003946956575716006,0.8224658908873073,0.0037060473846098176,0.2684957426679281,0.0015163540232339256,0.06638375410150922,0.003543498084398534,0.825122603523935,0.00896659744005666,0.017218045893232302,0.013105465140346145,0.06207183081130484,0.0038697588967571916,0.01721804589323232,0.013105465140346202,0.05002928479416038,0.001674972659562471,0.06207183081130484,0.0038697588967571916,0.4782195560475454,0.008298969938106918,0.14094525201529948,0.004644076696101567,0.38426029195533684,0.008262163647402378,0.42165900617191776,0.00767965814002747,0.38426029195533684,0.00826216364740239,0.3360348482814017,0.0050067131363501554,0.42165900617191776,0.00767965814002747,0.3949650684059256,0.007158243954502348,0.34874684793121,0.00553395731502589,0.257048476415802,0.011915458543489415,0.34859388207347736,0.008215947247871083,0.257048476415802,0.011915458543489452,0.2323278658942345,0.006347387287681448,0.34859388207347736,0.008215947247871083,0.41419114137658103,0.010319315530664482,0.35269574224086286,0.008227305898378315,0.22967645454144284,0.019980041601600586,0.3725323902948826,0.010322382195961715,0.22967645454144286,0.019980041601600555,0.24233736547498355,0.006953137305950813,0.3725323902948826,0.010322382195961715,0.5411189636999845,0.005748458761642176,0.11546088567720396,0.004174347815824911,0.4081499383911482,0.018605521056917936,0.4872835320889104,0.00543722705985233,0.4081499383911482,0.01860552105691793,0.3760896594937207,0.004436763300209754,0.4872835320889104,0.00543722705985233
Decision Tree,Original Features,0.7062637969094923,0.012838700236016121,0.2941650809318996,0.00762241823298535,0.7900476991498031,0.02012504499191568,0.4285464663673612,0.006018393878401443,0.817163678702045,0.0035073753048040454,0.2937362030905077,0.012838700236016121,0.043879412073448754,0.021986396002447693,0.8922424937125337,0.05015122804112687,0.020656170242337568,0.014512312638351354,0.04071296359851852,0.02229658015622685,0.020656170242337568,0.014512312638351324,0.034376014795397,0.015469853162199456,0.047185788734309106,0.013471792537071484,0.49235546105561917,0.04040774262834072,0.15337154001024322,0.01601879698830859,0.3730873568239106,0.04444754411711487,0.4398473535440176,0.04305445880453071,0.3730873568239107,0.04444754411711491,0.34749457913817705,0.029746059373026865,0.4398473535440176,0.04305445880453071,0.35987170191868156,0.014792725038490226,0.414866404074364,0.02455335166369199,0.1918843461982281,0.03136407259176382,0.31940381196654954,0.016044757356964038,0.19188434619822817,0.03136407259176386,0.21071944430277306,0.011979557711135872,0.31940381196654954,0.016044757356964038,0.3753281119647998,0.00714569769502823,0.41359602293836817,0.014653639514318152,0.17654297049878412,0.019495745681088226,0.33636143040470107,0.010372121054531997,0.17654297049878412,0.019495745681088222,0.21503757060885326,0.00886796070387144,0.33636143040470107,0.010372121054531997,0.5508892998123919,0.06798180417637627,0.13761198867812424,0.019322948214561445,0.4222682842935265,0.054286160546905736,0.5022220015550704,0.07448504868216013,0.4222682842935265,0.05428616054690572,0.385397580727082,0.04881272527428032,0.5084584218832133,0.06564418692724129
Random Forest,Original Features,0.7348391674550614,0.0020221309164684858,0.3149631084859691,0.0022295248644776085,0.768573781614768,0.008301755085008187,0.44681269441419547,0.003219042522298089,0.8273680755914758,0.003105237729631669,0.2651608325449385,0.0020221309164684858,0.03825555459068458,0.0014692834611331508,0.894142089119808,0.004240955662876664,0.01594033983951897,0.008788508164739096,0.03449923271792306,0.0016273593319435374,0.015940339839518935,0.008788508164739039,0.030988358495857814,0.0014339689609097692,0.03449923271792306,0.0016273593319435374,0.46444546582069834,0.006727096688862436,0.12126446798834838,0.004003904931260391,0.40469003377865054,0.019610498603249656,0.4034565138754848,0.006440921281208335,0.40469003377865054,0.019610498603249652,0.3253378877834697,0.004287282006948536,0.4108421394896551,0.011421081693689694,0.36289502241106747,0.00817584138252984,0.374353728978211,0.007478656443898779,0.22313289345357817,0.017893899984694775,0.3144943796485216,0.007508005839251844,0.22313289345357812,0.017893899984694796,0.21128955988125658,0.005145836610611617,0.3144943796485216,0.007508005839251844,0.38696581217509785,0.017729113445643794,0.3663922814749444,0.013531886111489925,0.21098027893474908,0.01852881374036276,0.34078735181169584,0.01806449244731786,0.21098027893474908,0.018528813740362766,0.2232823415089304,0.011517231215153021,0.34078735181169584,0.01806449244731786,0.5080033892709348,0.004348133832913132,0.10913070978974242,0.0015125193110890871,0.44166359571192276,0.03620843491189749,0.4474190308631738,0.006068402420194914,0.44166359571192276,0.03620843491189752,0.3532147567600382,0.004107285143358274,0.4580810919426453,0.02385053093554985
XGBoost,Original Features,0.8671199936928413,0.0006004883102220988,0.5861491558885603,0.010321113532146884,0.15792456375156744,0.0022906295164134187,0.248782292211076,0.002242649223932779,0.8306008904032811,0.003032846661763359,0.13288000630715863,0.0006004883102220988,0.0038067513796479296,0.0021980936066175686,0.9052572357237636,0.052960352720836025,0.00869530157222575,0.009382676576499742,0.0028480394751674055,0.001403275387374651,0.008695301572225733,0.00938267657649979,0.021252222371155382,0.00400947241594633,0.009655336837079923,0.008525773929938571,0.053050890935656556,0.0028688586740844607,0.06287971462043222,0.011546882846032822,0.12430114331899604,0.012819824140697104,0.028240887304415506,0.0025247289141851438,0.12430114331899604,0.012819824140697123,0.15624350708860807,0.005100885903367131,0.12430114331899604,0.012819824140697104,0.09940731097126104,0.0035806005241546166,0.10833422186772698,0.007821853664314161,0.1942619165086505,0.0059397055750623744,0.055682178495453705,0.0030921032253755803,0.1942619165086505,0.005939705575062364,0.13073604367296504,0.006667912743392913,0.1942619165086505,0.0059397055750623744,0.10566464880138353,0.00361757277886048,0.1315305878147575,0.01066630327379792,0.17822786613830255,0.01624644473724529,0.06044781355759965,0.0051074347604213996,0.17822786613830255,0.0162464447372453,0.14238283484355138,0.006013862943094102,0.17822786613830255,0.01624644473724529,0.06355914530441589,0.0035697456422234294,0.04024821954195203,0.006601777493871486,0.15883111300788388,0.013982220347016645,0.03387118625432354,0.0044375255503292365,0.15883111300788394,0.013982220347016612,0.18331565691733592,0.008582509413679428,0.15883111300788388,0.013982220347016645
LightGBM,Original Features,0.7204746136865342,0.0015465028234128136,0.3065436511731902,0.001712154276296465,0.797205080732797,0.011112840592163635,0.44280654707802214,0.0032130636389412996,0.8304260174428111,0.0030529708868905886,0.2795253863134658,0.0015465028234128136,0.06850391574854559,0.002057549931310189,0.829004323490451,0.006075148142473128,0.015677098747929042,0.010352253446342594,0.06436433394718664,0.002625424801906976,0.015677098747929035,0.01035225344634261,0.05105106611692427,0.0015690118037630003,0.06436433394718664,0.002625424801906976,0.49622324670177387,0.006903948366043974,0.12863677967882015,0.002596251635886685,0.39297146229231583,0.015898088183289867,0.43870368083643874,0.006269854483572705,0.39297146229231583,0.015898088183289825,0.34704823846261473,0.0034622352840954843,0.43870368083643874,0.006269854483572705,0.38438947694198367,0.007017658037372778,0.37699536854109217,0.005378537093997501,0.21556894105714758,0.015007291474145493,0.3411315998030334,0.00640939943049071,0.21556894105714758,0.015007291474145522,0.22629892140924995,0.004559591745498914,0.3411315998030334,0.00640939943049071,0.4114489961883587,0.010213089767405004,0.37125689816381646,0.007908254042638743,0.20622154500849227,0.014109060890445625,0.3712665583521618,0.009040220635919173,0.20622154500849219,0.014109060890445623,0.23850239472160398,0.005158353113354969,0.3712665583521618,0.009040220635919173,0.5812662177669846,0.00499836523987824,0.10805639512326462,0.004188139749699143,0.45211436578159364,0.027449662819250497,0.527845514702183,0.0058949554960922345,0.45211436578159353,0.027449662819250452,0.40116051555269416,0.004169902006974341,0.527845514702183,0.0058949554960922345
CatBoost,Original Features,0.8670017344686218,0.000685098775062565,0.5890458723248722,0.01221690287914773,0.15079503451830542,0.002257548493049704,0.24008768096733543,0.00238024657291729,0.8296070277588858,0.0031147257204054532,0.1329982655313781,0.000685098775062565,0.004136702237575512,0.0013054516417893296,0.8912299698567271,0.03393125038773705,0.006659597841543491,0.006042173544951566,0.002441248626230298,0.0015559781791182538,0.006659597841543486,0.006042173544951583,0.02104140213224317,0.003651035134825153,0.007323149953508662,0.005437662623438134,0.05546384120917515,0.0029527482862486006,0.029988484178824847,0.008519059083230132,0.1374370310596218,0.014267812094756912,0.029642248224085333,0.0024821423751906152,0.1374370310596218,0.0142678120947569,0.1563804831836047,0.005170020785993745,0.1374370310596218,0.014267812094756912,0.09525393119837056,0.003026633683695893,0.1041398805600843,0.0035377186773864573,0.18902390480131834,0.010270811678479558,0.05290253709770058,0.002332854583879571,0.18902390480131837,0.0102708116784796,0.13083512251163615,0.0063608643567684,0.18902390480131834,0.010270811678479558,0.10309068794750473,0.004469026378119549,0.1258679358652217,0.009949429394488873,0.17904049547816223,0.015668672841708607,0.05806735107703263,0.006287376913050644,0.1790404954781622,0.015668672841708604,0.1415645784395486,0.00768212424800725,0.17904049547816223,0.015668672841708607,0.06688772539396284,0.0024427776637359015,0.017139792010762704,0.004496312196061868,0.16276091123164316,0.013032034539119813,0.036003235767597175,0.003568833956512634,0.16276091123164313,0.013032034539119832,0.18376063556277444,0.008315282585320492,0.16276091123164316,0.013032034539119813
Stacking Ensemble,Original Features,0.8661345001576789,0.00043482494273857866,0.5684032579721605,0.008083042361055934,0.1636114133006575,0.005569789995566223,0.25400953601856746,0.006139793738114931,0.8275057600900515,0.0031873558321294047,0.13386549984232105,0.00043482494273857866,0.0019771952632504225,0.0012032973911295167,0.9519616765138748,0.02887691469628214,0.02891842449547426,0.008595198347054201,0.0019030286194449777,0.0012648571503250992,0.02891842449547426,0.00859519834705421,0.02101047360565369,0.003100688969486994,0.02891842449547426,0.008595198347054201,0.057935911307649746,0.003977578680265456,0.050129847370612844,0.013875490862945003,0.13757382790831887,0.010617450591828153,0.03258142288757682,0.0032479495851837448,0.1375738279083189,0.010617450591828104,0.1583429033226909,0.005031862068562938,0.13757382790831887,0.010617450591828153,0.10996120438921837,0.002518079249385713,0.0968440925626751,0.005439066753972924,0.21499300439682037,0.004464524009459994,0.06356313278207223,0.0019195146713751427,0.21499300439682037,0.004464524009460005,0.1321481674062877,0.006663328174322735,0.21499300439682037,0.004464524009459994,0.11000671801515767,0.00418308685710594,0.12837063416679415,0.008615894906206619,0.18563724041198718,0.01608821191457262,0.06413490537009954,0.0038867790332902425,0.18563724041198715,0.016088211914572645,0.14336097359845587,0.005906491685190009,0.18563724041198718,0.01608821191457262,0.05963290612544318,0.004130826638595753,0.03353259390738267,0.013207772195445309,0.17389322833442705,0.01211228167045598,0.03403737837275835,0.0026990242923664296,0.17389322833442705,0.012112281670455971,0.1848015633590429,0.007941076105389452,0.17389322833442705,0.01211228167045598
Logistic Regression,Without Sensitive Attributes,0.7311573636076948,0.0011478355888998937,0.30825618692903317,0.002113402181694935,0.7472135905060304,0.010922603784277245,0.4364501174450114,0.003849961416779946,0.8140700087164155,0.0038883330181819797,0.2688426363923052,0.0011478355888998937,0.014446913723777755,0.0014179131620034476,0.9582306102540704,0.004026005291822277,0.05148726559979451,0.010426075022416794,0.013152042117755457,0.0016089880596405102,0.05148726559979454,0.010426075022416775,0.018137868993436723,0.0006547446014325223,0.05148726559979451,0.010426075022416794,0.3308212288029262,0.005991308513413401,0.30086811704815336,0.007263171877666603,0.1504145338376464,0.015547537144469733,0.27591498640613354,0.005420802507229208,0.15041453383764636,0.01554753714446976,0.23211034052054388,0.0038782250463091513,0.27591498640613354,0.005420802507229208,0.4016445183128436,0.004484447300432253,0.3437530252733853,0.0035590458969297634,0.26811283676099007,0.012241393730867155,0.35728732025709775,0.0056056209823989725,0.26811283676099007,0.012241393730867165,0.23867967101255677,0.005712601646535337,0.35728732025709775,0.0056056209823989725,0.42405741812648545,0.009768510137224023,0.3368613440740454,0.006915159157642098,0.2552764475552757,0.01903148675701707,0.38204319469958176,0.011812800505679967,0.2552764475552757,0.01903148675701707,0.24915802915708932,0.009041352281956981,0.38204319469958176,0.011812800505679967,0.3403524482288129,0.005715964957301438,0.28760036411795886,0.006843278037575137,0.21303797364881233,0.012852500241280117,0.28493144875493465,0.004334425660046968,0.21303797364881233,0.01285250024128012,0.24236472851873936,0.0023813402918467425,0.28493144875493465,0.004334425660046968
Decision Tree,Without Sensitive Attributes,0.7124763481551561,0.008245199847582782,0.29503387796699954,0.004691145653226,0.7646973468035727,0.01478125763888123,0.42571060670668104,0.0030196390067125634,0.809050639988679,0.0031358692935668916,0.2875236518448439,0.008245199847582782,0.0250159688086526,0.0047998705157020795,0.9333978893792582,0.011872403178233343,0.04511528292117397,0.007030739407074084,0.024603789339097716,0.005906286201923435,0.045115282921173956,0.00703073940707406,0.026113619271914447,0.005158942422427674,0.04511528292117397,0.007030739407074084,0.3204715438512794,0.012740142500909251,0.3389805673538465,0.013367764018458616,0.14057952230040038,0.015823038446384725,0.26655493606501446,0.01338941371798881,0.14057952230040038,0.015823038446384774,0.2203907224900045,0.008950214677243504,0.26655493606501446,0.01338941371798881,0.36085981101295983,0.012077744383548522,0.402263135741737,0.02010597781817801,0.21582389495360327,0.027998888980713104,0.3185666411214877,0.010994530090182931,0.21582389495360327,0.027998888980713114,0.21135575165462434,0.006636403585872622,0.3185666411214877,0.010994530090182931,0.380997730278612,0.01537622014918219,0.394555365171121,0.020744870046407526,0.20206297731359052,0.02885067316136027,0.34067866946835534,0.015937183901361947,0.20206297731359052,0.028850673161360276,0.22057455542098686,0.010457304876463212,0.34067866946835534,0.015937183901361947,0.3442585550167065,0.015441149754285075,0.30691200384464323,0.014185520095717746,0.19125696009000231,0.021583536463344752,0.29089845349890336,0.01654095036207637,0.19125696009000231,0.021583536463344745,0.24268612966664999,0.010077242132870841,0.29089845349890336,0.01654095036207637
Random Forest,Without Sensitive Attributes,0.7305976032797225,0.0021957981354523612,0.30877651592320216,0.001756847831715052,0.7536641026631208,0.008980852874407464,0.43806342679342086,0.0025567322036183253,0.8177108466280218,0.0033025865655384626,0.26940239672027755,0.0021957981354523612,0.018233766377932593,0.0017111846869878318,0.9479619877550375,0.004656763572504396,0.052643116108784846,0.005440185641896309,0.017637589875739434,0.002883955824507448,0.05264311610878486,0.005440185641896301,0.021968059523729398,0.002317759189132227,0.052643116108784846,0.005440185641896309,0.33328251759480604,0.005302710620363142,0.29583737879278776,0.004727799240038972,0.15347107317250022,0.027363061914131074,0.2770040547413477,0.004392311410914711,0.15347107317250022,0.027363061914131046,0.2322197644547377,0.002934661829924281,0.2770040547413477,0.004392311410914711,0.36813357867356755,0.005547762466225241,0.37153938490218585,0.0054436283815032785,0.2413840001858656,0.014891929579522817,0.3202228042074135,0.005770045821798417,0.24138400018586553,0.014891929579522819,0.213954029020803,0.004967321647741609,0.3202228042074135,0.005770045821798417,0.3919628827297766,0.016365901093480247,0.36066248947831536,0.011911181327663152,0.2278714158789577,0.01939191189743297,0.34676989977239125,0.018700399644212343,0.2278714158789577,0.01939191189743293,0.2272950116564043,0.01302114333581171,0.34676989977239125,0.018700399644212343,0.348477749127862,0.005646144613431265,0.272552124597041,0.006493064843847791,0.209030268234778,0.022314105973792138,0.2924264066828962,0.004928112705228485,0.20903026823477805,0.02231410597379212,0.24840333874295828,0.002891881664453915,0.2924264066828962,0.004928112705228485
