model,feature_set,accuracy_mean,precision_mean,recall_mean,f1_mean,auc_mean,sex_group_dp_diff_mean,age_group_dp_diff_mean,income_group_dp_diff_mean,education_group_dp_diff_mean,intersection_group_equalized_odds_diff_mean
Logistic Regression,Original Features,0.7315,0.3114,0.7653,0.4427,0.8225,0.0664,0.4782,0.395,0.4142,0.4873
Decision Tree,Original Features,0.7063,0.2942,0.79,0.4285,0.8172,0.0439,0.4924,0.3599,0.3753,0.5085
Random Forest,Original Features,0.7348,0.315,0.7686,0.4468,0.8274,0.0383,0.4644,0.3629,0.387,0.4581
XGBoost,Original Features,0.8671,0.5861,0.1579,0.2488,0.8306,0.0038,0.0531,0.0994,0.1057,0.1588
LightGBM,Original Features,0.7205,0.3065,0.7972,0.4428,0.8304,0.0685,0.4962,0.3844,0.4114,0.5278
CatBoost,Original Features,0.867,0.589,0.1508,0.2401,0.8296,0.0041,0.0555,0.0953,0.1031,0.1628
Stacking Ensemble,Original Features,0.8661,0.5684,0.1636,0.254,0.8275,0.002,0.0579,0.11,0.11,0.1739
Logistic Regression,Without Sensitive Attributes,0.7312,0.3083,0.7472,0.4365,0.8141,0.0144,0.3308,0.4016,0.4241,0.2849
Decision Tree,Without Sensitive Attributes,0.7125,0.295,0.7647,0.4257,0.8091,0.025,0.3205,0.3609,0.381,0.2909
Random Forest,Without Sensitive Attributes,0.7306,0.3088,0.7537,0.4381,0.8177,0.0182,0.3333,0.3681,0.392,0.2924
XGBoost,Without Sensitive Attributes,0.8664,0.581,0.147,0.2346,0.8204,0.0066,0.0386,0.0957,0.1005,0.1136
LightGBM,Without Sensitive Attributes,0.7181,0.3017,0.7785,0.4349,0.8201,0.0244,0.3494,0.393,0.4175,0.3141
CatBoost,Without Sensitive Attributes,0.8663,0.5857,0.1389,0.2246,0.8199,0.0065,0.0372,0.0944,0.1003,0.1123
Stacking Ensemble,Without Sensitive Attributes,0.8658,0.5721,0.1463,0.233,0.8182,0.0069,0.0393,0.1032,0.0995,0.1159
Logistic Regression,Without Sensitive Attributes + Proxy-Reduced Features,0.7294,0.3065,0.7466,0.4346,0.8126,0.0262,0.3244,0.326,0.3545,0.2921
Decision Tree,Without Sensitive Attributes + Proxy-Reduced Features,0.715,0.2965,0.7612,0.4268,0.8093,0.0319,0.3171,0.3257,0.3573,0.2934
Random Forest,Without Sensitive Attributes + Proxy-Reduced Features,0.7269,0.3059,0.7566,0.4357,0.8159,0.0305,0.3296,0.3099,0.3444,0.3016
XGBoost,Without Sensitive Attributes + Proxy-Reduced Features,0.8662,0.5799,0.1455,0.2326,0.8187,0.0047,0.0371,0.0809,0.0806,0.111
LightGBM,Without Sensitive Attributes + Proxy-Reduced Features,0.7181,0.3013,0.7756,0.434,0.8183,0.039,0.3405,0.32,0.3572,0.3215
CatBoost,Without Sensitive Attributes + Proxy-Reduced Features,0.8662,0.585,0.1374,0.2225,0.8184,0.0042,0.0356,0.0786,0.0775,0.1085
Stacking Ensemble,Without Sensitive Attributes + Proxy-Reduced Features,0.8658,0.5735,0.1434,0.2295,0.8169,0.0044,0.0371,0.0842,0.0823,0.1113
