model,feature_set,method_type,eval_protocol,auc,f1,recall,fnr,dp_diff,fnr_gap,worst_group_sensitivity,macro_avg_fnr,comparison_group,is_directly_comparable,attack_auc,attack_advantage,primary_screening_score,protocol_rank
Logistic Regression,Original Features,Standard,5-fold CV,0.8094005940832296,0.450378428197164,0.7578426850360174,0.2421573149639825,0.070276710943724,0.0213690102411019,0.7476468654938255,0.2416686293856234,cv_raw,True,,,0.5059782361082021,7.0
Random Forest,Original Features,Standard,5-fold CV,0.811794691005695,0.4592168423127344,0.7211446383422448,0.2788553616577551,0.0345283911108255,0.0179515619514406,0.7117393536243947,0.2792848653998849,cv_raw,True,,,0.43245448822450977,16.0
XGBoost,Original Features,Standard,5-fold CV,0.8161056056924947,0.4509680409303406,0.7817479336712847,0.2182520663287154,0.074370084997312,0.0201448387768166,0.772137937626336,0.2177896429852557,cv_raw,True,,,0.5543482946410803,2.0
LightGBM,Original Features,Standard,5-fold CV,0.8162870451359797,0.4511853520829813,0.7807506690225026,0.2192493309774973,0.0754632066384412,0.0221774134957624,0.7701674351710059,0.2187438580811128,cv_raw,True,,,0.5514235770898932,3.0
CatBoost,Original Features,Standard,5-fold CV,0.8150831386053685,0.4512742139342383,0.7806367494984107,0.2193632505015892,0.0692780745597871,0.0147417894954235,0.7736138393008264,0.2190152659514618,cv_raw,True,,,0.5545985733493646,1.0
MLP,Original Features,Standard,5-fold CV,0.8136513208703156,0.2424188349082248,0.1541161860623322,0.8458838139376678,0.0037267640113707,0.0087639081686748,0.1495360217825782,0.8460820241330843,cv_raw,True,,,-0.6965460023505061,22.0
Fairlearn-DP,Original Features,Fairness-Aware,5-fold CV,0.7326044929574657,0.4497172916764965,0.7539108256831579,0.2460891743168421,0.0077346644818167,0.0473902630506603,0.7291706286457058,0.2471342398289639,cv_raw,True,,,0.48203638881674193,11.0
VFAE,Original Features,Fair Deep Representation,5-fold CV,0.8139619261982866,0.4696312207907437,0.6371490407193499,0.3628509592806501,0.0420310666029102,0.0069874628024189,0.6337001796014308,0.3628060889973596,cv_raw,True,,,0.27089409060407116,19.0
Logistic Regression,Without Sensitive Attributes,Standard,5-fold CV,0.8003352575971363,0.4430025356827972,0.7459328180855463,0.2540671819144536,0.0205821010079551,0.0426412872882547,0.7236679830362762,0.2550113733195964,cv_raw,True,,,0.46865660971667983,13.0
Random Forest,Without Sensitive Attributes,Standard,5-fold CV,0.8012825862017527,0.4492475126984063,0.7129387511065812,0.2870612488934188,0.0217776959849425,0.0465565631607637,0.6886062808970463,0.2881154375225717,cv_raw,True,,,0.40049084337447466,18.0
XGBoost,Without Sensitive Attributes,Standard,5-fold CV,0.8052892358355876,0.4440739478532841,0.7615752440770249,0.238424755922975,0.0261148849242167,0.0417787517316861,0.739743476572363,0.239367147561794,cv_raw,True,,,0.5003763290105689,10.0
LightGBM,Without Sensitive Attributes,Standard,5-fold CV,0.8052305625371391,0.4442239988029291,0.7619741613017009,0.2380258386982991,0.0257799278603291,0.0421739360142557,0.7399367849247193,0.2389762470681529,cv_raw,True,,,0.5009605378565664,9.0
CatBoost,Without Sensitive Attributes,Standard,5-fold CV,0.8046483961460279,0.4429932372979508,0.7617462978995961,0.2382537021004039,0.0252210669926826,0.0405937956065133,0.7405402831915497,0.2391628190051936,cv_raw,True,,,0.5013774641863562,8.0
