experiment,model,feature_set,accuracy_mean,precision_mean,recall_mean,fnr_mean,f1_mean,auc_mean,brier_mean,sex_group_dp_diff_mean,sex_group_fnr_gap_mean,sex_group_worst_group_sensitivity_mean,sex_group_macro_avg_fnr_mean,sex_group_group_auc_mean_mean,sex_group_group_brier_mean_mean,age_group_dp_diff_mean,age_group_fnr_gap_mean,age_group_worst_group_sensitivity_mean,age_group_macro_avg_fnr_mean,income_group_dp_diff_mean,education_group_dp_diff_mean,intersection_group_equalized_odds_diff_mean,intersection_group_fnr_gap_mean,intersection_group_worst_group_sensitivity_mean,intersection_group_macro_avg_fnr_mean
raw_dataset,Logistic Regression,Original Features,0.7171,0.3204,0.7578,0.2422,0.4504,0.8094,0.1829,0.0703,0.0214,0.7476,0.2417,0.8075,0.1846,0.4918,0.4037,0.4269,0.3416,0.3412,0.3957,0.5097,0.4285,0.4105,0.3404
raw_dataset,Random Forest,Original Features,0.7402,0.3369,0.7211,0.2789,0.4592,0.8118,0.1686,0.0345,0.018,0.7117,0.2793,0.81,0.1696,0.4522,0.4468,0.332,0.3936,0.2885,0.3359,0.4748,0.4748,0.3099,0.3946
raw_dataset,XGBoost,Original Features,0.6954,0.3089,0.8015,0.1985,0.4459,0.8161,0.1892,0.0781,0.0237,0.7902,0.198,0.8142,0.1909,0.5261,0.4145,0.4483,0.3034,0.3285,0.4123,0.5772,0.4666,0.4239,0.3041
raw_dataset,LightGBM,Original Features,0.7095,0.3173,0.7808,0.2192,0.4512,0.8163,0.1806,0.0755,0.0222,0.7702,0.2187,0.8144,0.1823,0.5074,0.4155,0.4284,0.324,0.3297,0.407,0.5578,0.4765,0.3967,0.3252
raw_dataset,CatBoost,Original Features,0.696,0.3091,0.7996,0.2004,0.4458,0.815,0.1899,0.0708,0.0145,0.7927,0.2001,0.8131,0.1916,0.5258,0.4324,0.4274,0.3106,0.3322,0.4127,0.554,0.4702,0.4039,0.311
raw_dataset,MLP,Original Features,0.853,0.5744,0.1541,0.8459,0.2424,0.8137,0.1063,0.0037,0.0088,0.1495,0.8461,0.8117,0.1072,0.0528,0.1205,0.0534,0.8741,0.0932,0.1006,0.162,0.162,0.0301,0.8754
raw_dataset,Fairlearn-DP,Original Features,0.7178,0.3204,0.7539,0.2461,0.4497,0.7326,0.2822,0.0077,0.0474,0.7292,0.2471,0.732,0.2827,0.4913,0.3969,0.4274,0.3441,0.3569,0.3997,0.4551,0.4435,0.404,0.3457
raw_dataset,VFAE,Original Features,0.7799,0.3719,0.6371,0.3629,0.4696,0.814,0.1064,0.042,0.007,0.6337,0.3628,0.8122,0.1073,0.3562,0.3748,0.313,0.4587,0.317,0.3872,0.4084,0.4084,0.291,0.4595
raw_dataset,Logistic Regression,Without Sensitive Attributes,0.7131,0.3151,0.7459,0.2541,0.443,0.8003,0.1857,0.0206,0.0426,0.7237,0.255,0.7986,0.1864,0.3461,0.163,0.6018,0.2964,0.3457,0.396,0.311,0.2069,0.5818,0.2977
raw_dataset,Random Forest,Without Sensitive Attributes,0.7326,0.328,0.7129,0.2871,0.4492,0.8013,0.1736,0.0218,0.0466,0.6886,0.2881,0.7993,0.1744,0.3219,0.1725,0.5568,0.3326,0.2966,0.3282,0.2883,0.2198,0.5339,0.3336
raw_dataset,XGBoost,Without Sensitive Attributes,0.6945,0.3051,0.7806,0.2194,0.4387,0.8052,0.193,0.0284,0.0386,0.7604,0.2203,0.8033,0.1938,0.359,0.1694,0.6301,0.2636,0.3407,0.421,0.3336,0.209,0.6107,0.2646
raw_dataset,LightGBM,Without Sensitive Attributes,0.7084,0.3135,0.762,0.238,0.4442,0.8052,0.1843,0.0258,0.0422,0.7399,0.239,0.8033,0.1852,0.3513,0.171,0.611,0.2824,0.3385,0.4107,0.3227,0.2147,0.5885,0.2837
raw_dataset,CatBoost,Without Sensitive Attributes,0.6923,0.3036,0.7824,0.2176,0.4375,0.8047,0.1936,0.0285,0.0404,0.7613,0.2185,0.8028,0.1944,0.3629,0.1721,0.6306,0.2622,0.3394,0.4262,0.3377,0.2103,0.6125,0.2634
