model,feature_set,method_type,eval_protocol,auc,f1,recall,fnr,dp_diff,fnr_gap,worst_group_sensitivity,macro_avg_fnr,attack_auc,attack_advantage,primary_screening_score
Logistic Regression,Original Features,Standard,5-fold CV,0.8094005940832296,0.450378428197164,0.7578426850360174,0.2421573149639825,0.070276710943724,0.0213690102411019,0.7476468654938255,0.2416686293856234,,,0.5059782361082021
Random Forest,Original Features,Standard,5-fold CV,0.811794691005695,0.4592168423127344,0.7211446383422448,0.2788553616577551,0.0345283911108255,0.0179515619514406,0.7117393536243947,0.2792848653998849,,,0.43245448822450977
XGBoost,Original Features,Standard,5-fold CV,0.8161296795432682,0.4459413182539068,0.801493179481497,0.1985068205185031,0.0780627565422735,0.0236976961115353,0.7901974141035328,0.1979537378406994,,,0.5922436762628335
LightGBM,Original Features,Standard,5-fold CV,0.8162870451359797,0.4511853520829813,0.7807506690225026,0.2192493309774973,0.0754632066384412,0.0221774134957624,0.7701674351710059,0.2187438580811128,,,0.5514235770898932
CatBoost,Original Features,Standard,5-fold CV,0.8150427317409503,0.4458270044663167,0.7995842988648232,0.2004157011351768,0.0708132038229485,0.0144645976747591,0.7926973223393441,0.2000703788232764,,,0.5926269435160677
MLP,Original Features,Standard,5-fold CV,0.8136513208703156,0.2424188349082248,0.1541161860623322,0.8458838139376678,0.0037267640113707,0.0087639081686748,0.1495360217825782,0.8460820241330843,,,-0.6965460023505061
Fairlearn-DP,Original Features,Fairness-Aware,5-fold CV,0.7326044929574657,0.4497172916764965,0.7539108256831579,0.2460891743168421,0.0077346644818167,0.0473902630506603,0.7291706286457058,0.2471342398289639,,,0.48203638881674193
VFAE,Original Features,Fair Deep Representation,5-fold CV,0.8139619261982866,0.4696312207907437,0.6371490407193499,0.3628509592806501,0.0420310666029102,0.0069874628024189,0.6337001796014308,0.3628060889973596,,,0.27089409060407116
Logistic Regression,Without Sensitive Attributes,Standard,5-fold CV,0.8003352575971363,0.4430025356827972,0.7459328180855463,0.2540671819144536,0.0205821010079551,0.0426412872882547,0.7236679830362762,0.2550113733195964,,,0.46865660971667983
Random Forest,Without Sensitive Attributes,Standard,5-fold CV,0.8012825862017527,0.4492475126984063,0.7129387511065812,0.2870612488934188,0.0217776959849425,0.0465565631607637,0.6886062808970463,0.2881154375225717,,,0.40049084337447466
