feature,mean_abs_shap
GenHlth,0.4861721
cardiometabolic_risk,0.41138712
Age,0.30294916
BMI,0.23872995
age_bmi_risk,0.15935333
HighBP,0.14652357
Sex,0.10520138
Income,0.095614456
any_mental_health_days,0.07167065
HvyAlcoholConsump,0.06538361
CholCheck,0.064497806
bp_chol_combined,0.057453603
DiffWalk,0.044029307
poor_general_health,0.032359816
HighChol,0.024097785
bmi_category,0.01690275
Education,0.013426011
Smoker,0.012336634
HeartDiseaseorAttack,0.0063331947
high_physical_burden,0.0063158213
AnyHealthcare,0.0056527937
PhysActivity,0.0053026765
lifestyle_score,0.005052675
any_physical_health_days,0.003864754
NoDocbcCost,0.0027159164
Education_fair_group,0.0021015173
high_mental_burden,0.0020172617
Veggies,0.0018772274
cardiovascular_and_bp,0.0014499566
Stroke,0.0013449935
Fruits,0.0013008736
obese_inactive,0.000562309
poor_health_no_access,0.00046096326
