feature,mean_abs_shap
GenHlth,0.48080936
cardiometabolic_risk,0.47791398
BMI,0.3232351
HighBP,0.17447615
any_mental_health_days,0.14954233
DiffWalk,0.094768725
poor_general_health,0.08191308
HvyAlcoholConsump,0.075830914
CholCheck,0.07347015
bp_chol_combined,0.052113585
HeartDiseaseorAttack,0.027068667
bmi_category,0.022855567
HighChol,0.02075946
lifestyle_score,0.018325023
AnyHealthcare,0.017424976
NoDocbcCost,0.015123349
any_physical_health_days,0.013346125
Smoker,0.011922172
obese_inactive,0.009526964
Veggies,0.009137693
Fruits,0.008464859
high_physical_burden,0.00803341
high_mental_burden,0.0058891084
PhysActivity,0.0050563663
cardiovascular_and_bp,0.0029045332
Stroke,0.002160628
poor_health_no_access,0.0009831256
