feature,mean_abs_shap
GenHlth,0.48168883
cardiometabolic_risk,0.47735107
BMI,0.32975584
HighBP,0.1862135
any_mental_health_days,0.14351375
Income,0.09802562
DiffWalk,0.07771995
HvyAlcoholConsump,0.07294535
CholCheck,0.072194465
poor_general_health,0.03763085
bp_chol_combined,0.034515332
HighChol,0.027638739
HeartDiseaseorAttack,0.024649043
AnyHealthcare,0.021487666
NoDocbcCost,0.019548157
bmi_category,0.01947083
Education,0.012682343
lifestyle_score,0.012601646
any_physical_health_days,0.01077852
obese_inactive,0.009084741
Smoker,0.008950425
high_mental_burden,0.00807217
high_physical_burden,0.0054488108
Fruits,0.0042717187
Veggies,0.0041651423
cardiovascular_and_bp,0.003690963
PhysActivity,0.003651006
Stroke,0.0022084706
Education_fair_group,0.0018316469
poor_health_no_access,0.000855836
